,status,title,links,competition_year,grant_direction,app_number,app_date,implementation_terms,organization,inn,ogrn,summary,target
0,проект не получил поддержку,"Проект по Социо-культурная адаптация детей мигрантов ""ВсеВместе""",https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=5c300cee-4f7a-4674-9dd9-e2cade3878db,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-012794,14.03.2022,01.08.2022 - 01.12.2022,"ЗАБАЙКАЛЬСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ МАЛОГО И СРЕДНЕГО ПРЕДПРИНИМАТЕЛЬСТВА ""ОПОРА РОССИИ""",7536114997,1107500000772,"Социо-культурная адаптация детей мигрантов, проживающих в Забайкальском крае средствами русского языка, истории и культуры в условиях образовательных организаций","Создание, внедрение и отработка регламента, программы и алгоритма минимальных и максимальных необходимых действий со стороны как руководящего, так и педагогического состава образовательного учреждения при зачислении ребенка с миграционной историей в состав учащихся. Проведение комплекса мероприятий, направленных на максимально эффективное, быстрое, полноценное и комфортное введение детей с миграционной историей в учебный процесс и социализацию в ученический коллектив с целью профилактики конфликтов на межнациональной почве, ксенофобии, сохранение межэтнического мира в Забайкальском крае."
1,проект не получил поддержку,"Адаптация студентов, прибывающих в Россию из третьих стран через территории государств-членов ЕАЭС и беженцев из ДНР и ЛНР и приграничных с Украиной т...",https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=2862f1a6-3801-42ca-bf25-9445074fa857,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-017763,15.03.2022,01.07.2022 - 31.01.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПРАВОВЫХ И БУХГАЛТЕРСКИХ УСЛУГ""",7321013526,1217300000037,"Цель проекта «Адаптация студентов, прибывающих в Россию из третьих стран через территории государств-членов ЕАЭС и беженцев из ДНР и ЛНР и приграничных с Украиной территорий, для обучения в ульяновских колледжах и вузах «Мы живем и учимся в России» - содействовать формированию благоприятной межкультурной среды в образовательных организациях.",Содействовать формированию благоприятной межкультурной среды в образовательных организациях Ульяновской области
2,проект не получил поддержку,По улицам города пройдусь,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=8fe1cfbe-c129-4c19-9108-5327a04b8c39,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-007295,15.03.2022,01.07.2022 - 30.11.2022,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ОРЕНБУРГСКАЯ РЕГИОНАЛЬНАЯ КАЗАХСКАЯ НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ""",5638032323,1085600000640,"Проект ""По улицам города пройдусь"" - флагман гражданско-патриотического воспитания направления для детей, молодежи и жителей города Оренбурга по увековечиванию памяти выдающихся оренбуржцев. Принципиально новым направлением станет изучение разнонациональных геров Оренбургской области, в честь которых названы улицы города. Сегодня нам известны десятки имен героев, отдавших в разное историческое время свою жизнь за свободу Родины. В работе проекта принимут участие школьники из 7 оренбургских школ. Ребята проведут научно-исследовательскую работу по истории жизни и подвигов разнонациональных героев, в честь которых названы улицы областного центра. Они будут находить информацию в архивах, электронных справочниках, общаться с потомками и возможными родственниками, чтобы собрать по крупицам важные сведениях о героях разных национальностей. По итогам этой работы будут созданы презентации. Подобные мероприятия проекта помогут не только увековечить подвиг героев, рассказать о национальном многообразии народов нашей Родины, но и позволит каждому школьнику внести свой вклад в сохранение исторической памяти о бессмертном подвиге героев.","Повысить уровень гражданско-патриотического воспитания через обогащение знаний школьников и жителей города историческими, интернациональными и исследовательскими сведениями через примеры жизни и подвигов героев разных национальностей."
3,победитель конкурса,"Культурно-этнографическая киноэкспедиция ""Дети Солнца""",https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=244d22f3-6c0f-4662-bd52-ad5e60b1078d,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-010603,15.03.2022,01.07.2022 - 31.05.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОХРАНЕНИЯ И ИЗУЧЕНИЯ ЯЗЫКОВ И ТРАДИЦИОННЫХ ЗНАНИЙ ""КИРИЛЛИКА""",9709060278,1207700094964,"Актуальная проблема сохранения и развития культуры народов России играет сегодня роль скрепляющего и объединяющего начала в этнокультурной жизни страны. Данный проект направлен на сбор и дальнейшую медиа-презентацию уникального, исчезающего этнографического материала, основанного на исследовании культурного наследия коренных малочисленных народов Севера. Мы расскажем о таких народах как: негидальцы (численность 522 чел.), нганасаны (численность 862 чел.), ульчи (численность 2765 чел.) и энцы (численность 227 чел.).","Успеть запечатлеть и зафиксировать, а уже отчасти и воссоздать целостную картину особенностей жизни коренных малочисленных народов Севера и Дальнего Востока посредством создания уникального этнографического мультимедийного контента."
4,проект не получил поддержку,Дорога домой,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=ede4d519-8b1e-44d2-83b1-c73051c3d8ac,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-012647,15.03.2022,01.07.2022 - 31.05.2023,ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ БЕЛОРУССКОЙ МЕСТНОЙ НАЦИОНАЛЬНО-КУЛЬТУРНОЙ АВТОНОМИИ ГОРОДА ТАГАНРОГА,6154142630,1166100050270,"На базе центра национальных культур""Вместе дружная семья"",созданным нами в 2019 г, в рамках проекта еще более активно будут развиваться на основе славянских (русской,белорусской,украинской)традиций вокальные группы,хореографический ансамбль,театр этно-моды""Берегиня"",мастерская по рукоделию, вокальная и хореографическая группы для особенных детей,ансамбль шумовых инструментов.Посредством творчества на основе славянской культуры мы хотим достучаться до самых сокровенных струн души каждого человека.Ведь известный факт-культура,искусство объединяет!Создать условия для актуализации интереса детей,подростков,молодежи к народному славянскому творчеству.Целевая группа-дети(3-10 лет),подростки(11-16 лет),молодежь(17-35лет),родители детей.Занятия проходят и будут проходить на благотворительной основе.Повысить количество занимающихся в центре на 30 человек(на данный момент в ЦНК на основе славянской культуры занимается около 150 человек)ЦНК стал площадкой для совместного творчества, возрождения национальных традиций, культуры славянских народов как единой этнической общности, является площадкой для общения, демонстрации объединения различных культур, что является очень важным в настоящее время.Самобытная славянская культура формировалась на протяжении столетий. Веками из поколения в поколение передавались богатейшие духовные ценности, прославляющие нравственную сущность человека. В них-высокие идеалы добра и справедливости,уважения к окружающим,решительного неприятия зла.Как и раньше,мы считаем,что эту работу нельзя прекращать ни на минуту. Проект ""Дорога домой""-это возвращение к своим национальным ценностям,к своим истокам,традициям,героическому прошлому наших предков. Мы познакомим зрителей с Купальем,Дажынками и др.славянскими праздниками.Особое внимание в данном проекте мы уделим гражданско-патриотическому и нравственному воспитанию подрастающего поколения,приобщения их к культуре памяти.Мы славяне-братья по крови,у нас общие славянские традиции,общее историческое прошлое.Славянский народ объединил народы и народности Советского Союза в борьбе против фашизма и только благодаря единению,мы победили в этой страшной войне.Поэтому в настоящее время нужен эмоциональный всплеск,поднятие духовности,гордости за славянский народ.Такое вдохновение, всплеск патриотизма мы можем почерпнуть только обратясь к своим истокам,ОБЩЕЙ ИСТОРИИ.Победа в Великой Отечественной войне слагалась из усилий всех сынов и дочерей на тот момент единой большой Родины и несломленного духа каждого в отдельности человека.Мы,их потомки,обязаны вечно хранить память о подвигах своих предков. В рамках проекта будет проведена акция памяти""Дорога домой"".Предполагается привести в порядок мемориалы и воинские захоронения белорусов в Ростовской области,собрать сведения о военных событиях 1941-1945 годов в населенных пунктах,о вкладе земляков в великую Победу,осуществить торжественный забор земли с данных захоронений и мест боевых действий и передача капсул в Храм-Памятник в честь Всех Святых .","Повысить интерес к славянской культуре и народному творчеству ,его национально-культурной самобытности и традиций через устойчивое развитие центра национальных культур ""Вместе дружная семья"" и участие целевой группы в мероприятиях центра , гражданско-патриотическое и нравственное воспитание подрастающего поколения, приобщение к культуре памяти, организация активного досуга . Развить площадку для межнационального культурного общения."
5,победитель конкурса,Этнокультурная мозаика земли Владимирской,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=9da766a4-003a-450a-9669-5f84c4f622bc,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-004959,15.03.2022,01.07.2022 - 31.12.2022,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТВОРЧЕСКАЯ МАСТЕРСКАЯ МЕЖНАЦИОНАЛЬНОЙ КУЛЬТУРЫ И ИСКУССТВА ""НАРОДНЫЙ СТИЛЬ""",3329092145,1173328015343,"Данный проект является логическим продолжением уже заявленного ранее спецпроекта АНО «Народный стиль», который заручился поддержкой Фонда президентских грантов (№ 21-2-016411). Развитие, заложенное в настоящем проекте, обеспечивает еще большую доступность мероприятий и услуг, направленных на популяризацию межнационального культурного взаимодействия на территории Владимирской области. Проект включает в себя проведение следующих крупных, не имеющих аналогов на территории области, мероприятий: 1) Организация уникальной и универсальной ""Передвижной выстави национальных костюмов народов России ""Народный стиль-2022"". Для охвата наибольшего числа субъектов России, география национальных костюмов на выставках будет представлена следующими локациями: а) Славянские народы б) Народы Поволжья в) Народы Кавказа г) Народы Севера и Дальнего Востока д) Народы Сибири е) Народы Средней Азии.",Укрепление и развитие межнационального культурного диалога через знакомство учащихся и студентов образовательных учреждений с материальным и духовным культурным наследием народов России посредством организации и проведения массовых культурно-просветительских мероприятий на территории Владимирской области
6,проект не получил поддержку,Говорю по-русски,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=4212736c-9dc5-4e34-9631-a355a013d14b,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-006551,15.03.2022,01.07.2022 - 31.12.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТСКИЙ СОЦИАЛЬНЫЙ ЦЕНТР ""КАПЕЛЬКИ ДОЖДЯ""",7203499733,1207200004560,"«Говорю по–русски» – это образовательный проект, направленный на достижение максимальной адаптации в новой языковой, культурной и социальной среде детей мигрантов и беженцев 6-17 лет из стран ближнего зарубежья, не говорящих или плохо говорящих на русском языке.","создание благоприятных условий детям из семей мигрантов и беженцев для получения школьного образования посредством комплекса мероприятий, направленных на их языковую и социокультурную адаптацию"
7,проект не получил поддержку,Аркуда. Люди Амура.,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=cec67617-5930-4c97-b4bd-c5650a85148e,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-006932,15.03.2022,01.07.2022 - 31.08.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЭТНО-ЦЕНТР ""ДРЕВО ЖИЗНИ""",2703101006,1202700005331,"На территории Хабаровского края согласно переписи 2010 (https://mpr.khabkrai.ru/Deyatelnost/Korennye-malochislennye-narody-Severa/514) проживает 22,861 тыс. представителей коренных малочисленных народов севера (КМНС). Однако, с течением времени их численность уменьшается, что происходит из-за ассимиляции как на генетическом, так и на культурном уровне. Это приводит к постепенному исчезновению носителей языка, культуры, традиционных видов деятельности и промысла. В СМИ Хабаровского края довольно скудно освещена повестка об истории, культуре и образе жизни КМНС, а та информация, которая представлена, подаётся в формате не популярном для большинства зрителей. Поэтому наша команда предлагает новый формат популяризации культуры КМНС посредством съемки реалити-шоу, в котором обычные жители Хабаровского края, 12 человек, на протяжении 12 дней будут находится в условиях первобытно-общинного строя, так как жили КМНС 150 лет назад. Участники проекта будут приспосабливаться к условиям дикой природы, используя знания, навыки и инструменты, которыми пользовались коренные жители Приамурья. Каждый съемочный день участники будут проходить испытания, основанные на традиционных видах дельности КНМС, навыков выживания в условиях дикой природы, добычи ресурсов, необходимых человеку. Участники будут знакомиться с языком и обычаями народов Приамурья, принимая непосредственное участие в обрядах и в других видах хозяйственной деятельности. Также в ходе реализации проекта для участников предусмотрено проведение множества мастер-классов по традиционным видам деятельности: охота, рыбалка, изготовление жилища, одежды, добыча и приготовление пищи, инструментов и прочее.","Популяризация среди жителей Хабаровского края образа жизни коренных малочисленных народов Приамурья и их культуры, путем съемки реалити-шоу и показа его на краевых и федеральных СМИ, в рамках которого участники проекта будут жить и проходить различные испытания в условиях первобытно-общинного строя коренных народов Приамурья, лично знакомясь с их культурой, традициями, промыслами и демонстрируя это зрителям."
8,проект не получил поддержку,Мордовский «Кудо чакша»,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=f3c2ef71-09ce-4b3f-8e8c-ececfe14b7cf,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-002307,15.03.2022,01.07.2022 - 30.06.2023,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ РАЗВИТИЯ НАРОДНЫХ ХУДОЖЕСТВЕННЫХ ПРОМЫСЛОВ ""ДОМ ГОНЧАРА""",6325075514,1206300013556,"Территория Поволжья сохранила самобытную культуру, благодаря удалению от границ государства. Мордовский народ остался в стороне от набегов кочевников и крупных военных действий, что позволило уберечь культурные традиции, привычный уклад жизни. Мордовский народный орнамент отражает глубину единения с природой, несет в себе память веков и наследие предков.","Возрождение, сохранение и популяризация традиций мордовских ремесел в Самарской области."
9,проект не получил поддержку,Межрегиональная проектная школа “Традиции семейных игр народов России”,https://xn--80afcdbalict6afooklqi5o.xn--p1ai/public/application/item?id=dc4fb459-a600-45c4-be83-c6f0bf5d54d5,Второй конкурс 2022,Укрепление межнационального и межрелигиозного согласия,22-2-005252,15.03.2022,01.07.2022 - 30.04.2023,"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ В ОБУЧЕНИИ ""ПОЗНАНИЕ""",4345015012,1034316543140,"Межрегиональная проектная школа ""Традиции семейных игр народов России"" направлена на обучение специалистов в сфере воспитания педагогическим компетенциям в области межнационального сотрудничества, сохранения народных традиций и их применению в воспитании подрастающего поколения, через участие в теоретических и практических занятиях, организацию взаимодействия детей и родителей в сетевом социокультурном проекте по созданию картотеки семейных игр народов России.","Обучение специалистов в сфере воспитания педагогическим компетенциям в области межнационального сотрудничества, сохранения народных традиций и их применения в воспитании подрастающего поколения, через участие в теоретических и практических занятиях, через организацию взаимодействия детей-представителей различных народов РФ и их родителей в сетевом социокультурном проекте по созданию картотеки семейных игр народов России."
